Energy,Scale,PrimVec1,PrimVec2,PrimVec3,Coord1,Coord2,Coord3,Coord4,Coord5,Coord6,Coord7,Coord8,Coord9,Coord10,Coord11,Coord12,Coord13,Coord14,Coord15,Coord16,Coord17,Coord18,Coord19,Coord20,Coord21,Coord22,Coord23,Coord24,Coord25,Coord26,Coord27,Coord28,Coord29,Coord30,Coord31,Coord32,Coord33,Coord34,Coord35,Coord36,Coord37,Coord38,Coord39,Coord40,Coord41,Coord42,Coord43,Coord44,Coord45,Coord46,Coord47,Coord48,Coord49,Coord50,Coord51,Coord52,Coord53,Coord54,Coord55,Coord56,Coord57,Coord58,Coord59,Coord60,Coord61,Coord62,Coord63,Coord64,Coord65,Coord66,Coord67,Coord68,Coord69,Coord70,Coord71,Coord72,Coord73,Coord74,Coord75,Coord76,Coord77,Coord78,Coord79,Coord80,Coord81,Coord82,Coord83,Coord84,Coord85,Coord86,Coord87,Coord88,Coord89,Coord90,Coord91,Coord92,Coord93,Coord94,Coord95,Coord96
-186.624533,5.24,5.277589961;0.0;0.0,0.0;5.558256459;0.0,0.0;0.0;9.319328791,0.131417939841;0.390280660132;0.629532462216,0.631418890938;0.609719976939;0.87046719586,0.368581116452;0.890280978667;0.370466594476,0.868582067549;0.109719658403;0.12953293387,0.868582067549;0.609719976939;0.370466594476,0.368581116452;0.390280660132;0.12953293387,0.631418890938;0.109719658403;0.629532462216,0.131417939841;0.890280978667;0.87046719586,0.46239666553;0.386941483515;0.732251233221,0.962395721823;0.61305735443;0.767748424855,0.0376042855672;0.88694180205;0.26774889651,0.53760334186;0.113057035895;0.232251704875,0.53760334186;0.61305735443;0.26774889651,0.0376042855672;0.386941483515;0.232251704875,0.962395721823;0.113057035895;0.732251233221,0.46239666553;0.88694180205;0.767748424855,0.819817384824;0.849572169768;0.988255721688,0.319818328531;0.150428467302;0.511745009427,0.680181678859;0.349571851233;0.0117444080421,0.180182622566;0.650428785837;0.488255120304,0.180182622566;0.150428467302;0.0117444080421,0.680181678859;0.849572169768;0.488255120304,0.319818328531;0.650428785837;0.988255721688,0.819817384824;0.349571851233;0.511745009427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-51.729522,4.63,4.611805171;-8.26e-06;0.0,-8.26e-06;4.611805171;0.0,0.0;0.0;2.971425702,0.0;0.0;0.0,0.500000334902;0.500000334902;0.499999040528,0.304176447288;0.304176447288;0.0,0.695824222516;0.695824222516;0.0,0.804180029287;0.195820640517;0.499999040528,0.195820640517;0.804180029287;0.499999040528,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-180.209302,5.22,5.260275659;0.0;0.0,0.0;5.544219656;0.0,0.0;0.0;9.266752776,0.13000839582;0.389883542522;0.629752421486,0.630008808441;0.610116519525;0.870247668729,0.369992016801;0.889883573545;0.370247278948,0.869992429421;0.110116488502;0.129753110832,0.869992429421;0.610116519525;0.370247278948,0.369992016801;0.389883542522;0.129753110832,0.630008808441;0.110116488502;0.629752421486,0.13000839582;0.889883573545;0.870247668729,0.460137482692;0.385239065644;0.733844979399,0.960137895313;0.614760996403;0.766155110816,0.0398629299286;0.885239096667;0.266154721035,0.53986334255;0.11476096538;0.233845668745,0.53986334255;0.614760996403;0.266154721035,0.0398629299286;0.385239065644;0.233845668745,0.960137895313;0.11476096538;0.733844979399,0.460137482692;0.885239096667;0.766155110816,0.817970440891;0.848719980802;0.989020665765,0.31797002827;0.151280081245;0.51097942445,0.682030796972;0.348719949778;0.0109790346694,0.182030384351;0.651280112268;0.489020275985,0.182030384351;0.151280081245;0.0109790346694,0.682030796972;0.848719980802;0.489020275985,0.31797002827;0.651280112268;0.989020665765,0.817970440891;0.348719949778;0.51097942445,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-50.011671,4.62,4.59101559;-1.09e-05;0.0,-1.09e-05;4.59101559;0.0,0.0;0.0;2.979011626,0.0;0.0;0.0,0.499999489219;0.499999489219;0.5000014055,0.303937829347;0.303937829347;0.0,0.69606114909;0.69606114909;0.0,0.803942409841;0.196058746769;0.5000014055,0.196058746769;0.803942409841;0.5000014055,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-46.785818,4.68,4.643124069;-7.282e-06;0.0,-7.282e-06;4.643124069;0.0,0.0;0.0;3.027476554,0.0;0.0;0.0,0.500000345996;0.500000345996;0.500000569121,0.304928793513;0.304928793513;0.0,0.695069744753;0.695069744753;0.0,0.804932490481;0.195066047786;0.500000569121,0.195066047786;0.804932490481;0.500000569121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-186.619423,5.22,5.257184497;0.0;0.0,0.0;5.540636477;0.0,0.0;0.0;9.278197932,0.131123417942;0.390364899227;0.629559753177,0.631122990242;0.609633931773;0.870439503359,0.368876154357;0.890365217151;0.370440469711,0.868875726657;0.10963361385;0.129559641733,0.868875726657;0.609633931773;0.370440469711,0.368876154357;0.390364899227;0.129559641733,0.631122990242;0.10963361385;0.629559753177,0.131123417942;0.890365217151;0.870439503359,0.461686288808;0.386549453098;0.732732805425,0.961685861108;0.613451182749;0.767267528907,0.0383132834914;0.886547966175;0.267267417463,0.538312855791;0.113450864826;0.232732693981,0.538312855791;0.613451182749;0.267267417463,0.0383132834914;0.386549453098;0.232732693981,0.961685861108;0.113450864826;0.732732805425,0.461686288808;0.886547966175;0.767267528907,0.81886036194;0.849073932125;0.98886659535,0.318860789641;0.150926703723;0.511133738982,0.681140257117;0.349073614201;0.0111336275381,0.181138782659;0.6509252168;0.488866483906,0.181138782659;0.150926703723;0.0111336275381,0.681140257117;0.849073932125;0.488866483906,0.318860789641;0.6509252168;0.98886659535,0.81886036194;0.349073614201;0.511133738982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-221.205289,5.11,5.108874169;0.0;0.0,0.0;5.428702063;0.0,0.0;0.0;9.141268941,0.136063245444;0.399644330233;0.629085528182,0.636063816118;0.60035528975;0.870914098621,0.36393732523;0.899644140224;0.370914587667,0.863935938525;0.100355479759;0.129084923288,0.863935938525;0.60035528975;0.370914587667,0.36393732523;0.399644330233;0.129084923288,0.636063816118;0.100355479759;0.629085528182,0.136063245444;0.899644140224;0.870914098621,0.464366496712;0.389829829569;0.730516741505,0.964367067385;0.610171632475;0.769482885297,0.0356321165835;0.88982963956;0.269483374343,0.535632687257;0.110169980422;0.230517230551,0.535632687257;0.610171632475;0.269483374343,0.0356321165835;0.389829829569;0.230517230551,0.964367067385;0.110169980422;0.730516741505,0.464366496712;0.88982963956;0.769482885297,0.814570855014;0.84987165375;0.990291398101,0.31457028434;0.150127966232;0.509709322641,0.685428899629;0.349871843759;0.00970871774726,0.185428328955;0.650127776224;0.490290793207,0.185428328955;0.150127966232;0.00970871774726,0.685428899629;0.84987165375;0.490290793207,0.31457028434;0.650127776224;0.990291398101,0.814570855014;0.349871843759;0.509709322641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-103.367534,4.6,4.587160875;0.0;0.0,0.0;5.566204977;0.0,0.0;0.0;4.998252815,0.0;0.160358808863;0.249999359026,0.0;0.839640296991;0.750000077777,0.499999904625;0.66035836179;0.249999359026,0.499999904625;0.339640744064;0.750000077777,0.273325927336;0.380986688195;0.417665947936,0.726673881914;0.619014214215;0.582333488867,0.226673977289;0.119012864732;0.917666666687,0.773325831961;0.880986241122;0.0823327701162,0.773325831961;0.119012864732;0.582333488867,0.226673977289;0.880986241122;0.417665947936,0.726673881914;0.380986688195;0.0823327701162,0.273325927336;0.619014214215;0.917666666687,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-96.646692,4.59,4.553991542;0.0;0.0,0.0;5.550678817;0.0,0.0;0.0;5.015885681,0.0;0.156768213166;0.24999971685,0.0;0.843231999961;0.749999150549,0.500000928636;0.65676831973;0.24999971685,0.500000928636;0.343231893397;0.749999150549,0.270158604524;0.384857432835;0.419124384745,0.729843252748;0.615140978711;0.580874482654,0.229842324112;0.115140872147;0.91912581211,0.770157337284;0.884857539398;0.0808750489543,0.770157337284;0.115140872147;0.580874482654,0.229842324112;0.884857539398;0.419124384745,0.729843252748;0.384857432835;0.0808750489543,0.270158604524;0.615140978711;0.91912581211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-48.388008,4.68,4.652334733;-3.656e-06;0.0,-3.656e-06;4.652334733;0.0,0.0;0.0;3.015500862,0.0;0.0;0.0,0.500000958982;0.500000958982;0.499999857072,0.305004088599;0.305004088599;0.0,0.694997829364;0.694997829364;0.0,0.805006717666;0.194993050837;0.499999857072,0.194993050837;0.805006717666;0.499999857072,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-221.223883,5.16,5.161852571;0.0;0.0,0.0;5.476743102;0.0,0.0;0.0;9.233920647,0.13586013749;0.401043094243;0.629041576385,0.635860857096;0.598956339362;0.870958318514,0.364138644827;0.901042811045;0.370958353548,0.864139364433;0.0989566225595;0.129041611419,0.864139364433;0.598956339362;0.370958353548,0.364138644827;0.401043094243;0.129041611419,0.635860857096;0.0989566225595;0.629041576385,0.13586013749;0.901042811045;0.870958318514,0.464703314751;0.391177741972;0.729564424207,0.964704034357;0.608823517536;0.770435470692,0.0352974048549;0.891177458774;0.270435505725,0.535296187172;0.108823800733;0.229564459241,0.535296187172;0.608823517536;0.270435505725,0.0352974048549;0.391177741972;0.229564459241,0.964704034357;0.108823800733;0.729564424207,0.464703314751;0.891177458774;0.770435470692,0.816799771401;0.851319828804;0.989095569385,0.316800989084;0.148679604801;0.510904325513,0.683200450128;0.351320112002;0.0109043605473,0.183199730522;0.648679321603;0.489095604419,0.183199730522;0.148679604801;0.0109043605473,0.683200450128;0.851319828804;0.489095604419,0.316800989084;0.648679321603;0.989095569385,0.816799771401;0.351320112002;0.510904325513,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-55.334124,3.81,3.801573667;0.0;0.0,0.0;3.801573667;0.0,1.900786833;1.900786833;4.827466285,0.125000803395;0.374999904623;0.750000059296,0.874998680303;0.624999579076;0.250000710259,0.918570191221;0.168570257049;0.162857688399,0.668570516768;0.418571415541;0.662857037437,0.0814292924768;0.831429226649;0.837143081156,0.33142896693;0.581428068157;0.337143732118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-110.553137,4.53,4.536379507;0.0;0.0,0.0;5.488966448;0.0,0.0;0.0;4.89488554,0.0;0.169924522009;0.249999717052,0.0;0.830076125107;0.749999151155,0.500000054338;0.669923934649;0.249999717052,0.500000054338;0.330076712467;0.749999151155,0.271846744325;0.382667669751;0.418060848058,0.728153364352;0.617332977365;0.581940063097,0.228153310014;0.117333564725;0.918060282161,0.771846798663;0.882667082391;0.0819385860451,0.771846798663;0.117333564725;0.581940063097,0.228153310014;0.882667082391;0.418060848058,0.728153364352;0.382667669751;0.0819385860451,0.271846744325;0.617332977365;0.918060282161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-49.935029,3.8,3.839463057;0.0;0.0,0.0;3.839463057;0.0,1.919731529;1.919731529;4.695490292,0.124999358907;0.375000462121;0.750000485785,0.874999477749;0.625000979065;0.249999452027,0.913918736161;0.16392063558;0.172160935223,0.663919284069;0.413920785385;0.672159839278,0.0860801004947;0.836080805606;0.82783900259,0.336079552587;0.586080655801;0.327840098535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-96.593396,4.64,4.61463562;0.0;0.0,0.0;5.60565052;0.0,0.0;0.0;5.063355262,0.0;0.155129185613;0.250000233936,0.0;0.844870721623;0.750000701807,0.500000474577;0.655128247274;0.250000233936,0.500000474577;0.344871659962;0.750000701807,0.273204669625;0.382437326828;0.418441900749,0.726794112511;0.617562580409;0.581559034994,0.226795804952;0.117563518748;0.918440393646,0.773205144202;0.882436388489;0.0815585671223,0.773205144202;0.117563518748;0.581559034994,0.226795804952;0.882436388489;0.418441900749,0.726794112511;0.382437326828;0.0815585671223,0.273204669625;0.617562580409;0.918440393646,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-50.034574,4.67,4.650135118;-4.566e-06;0.0,-4.566e-06;4.650135118;0.0,0.0;0.0;2.999047219,0.0;0.0;0.0,0.500001015885;0.500001015885;0.499998796451,0.304926922834;0.304926922834;0.0,0.695072958459;0.695072958459;0.0,0.804931640847;0.195070390924;0.499998796451,0.195070390924;0.804931640847;0.499998796451,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-49.950458,3.84,3.860096446;0.0;0.0,0.0;3.860096446;0.0,1.930048223;1.930048223;4.793674099,0.124999998727;0.374998933598;0.750000923248,0.875000766828;0.624999241348;0.250000307749,0.916804818555;0.166802832724;0.166392204294,0.666804510806;0.416802985326;0.666392819793,0.0831969900409;0.833196385263;0.833606940621,0.33319729779;0.583196232661;0.333606325122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-55.254935,4.62,4.61816742;1.094e-06;0.0,1.094e-06;4.61816742;0.0,0.0;0.0;2.944085286,0.0;0.0;0.0,0.499999078206;0.499999078206;0.499999102268,0.304179025893;0.304179025893;0.0,0.695821295879;0.695821295879;0.0,0.80417391749;0.195826404283;0.499999102268,0.195826404283;0.80417391749;0.499999102268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-106.904016,4.58,4.576575996;0.0;0.0,0.0;5.546661118;0.0,0.0;0.0;4.962174285,0.0;0.164495356862;0.249999280305,0.0;0.835504441575;0.749999856162,0.500000437445;0.664495256081;0.249999280305,0.500000437445;0.335504542356;0.749999856162,0.273223912613;0.380681270242;0.417472237173,0.726776962276;0.619318528196;0.58252891454,0.226776524831;0.119318628977;0.917470797784,0.773222165019;0.88068116946;0.0825283386837,0.773222165019;0.119318628977;0.58252891454,0.226776524831;0.88068116946;0.417472237173,0.726776962276;0.380681270242;0.0825283386837,0.273223912613;0.619318528196;0.917470797784,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-53.468585,4.64,4.634341492;4.632e-06;0.0,4.632e-06;4.634341492;0.0,0.0;0.0;2.961704212,0.0;0.0;0.0,0.499999339281;0.499999339281;0.499999288923,0.304483083966;0.304483083966;0.0,0.695515594597;0.695515594597;0.0,0.804480874098;0.195519962266;0.499999288923,0.195519962266;0.804480874098;0.499999288923,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-193.169889,5.2,5.232891088;0.0;0.0,0.0;5.51964;0.0,0.0;0.0;9.249592105,0.132020710613;0.391125145843;0.629408295405,0.63202156215;0.608874854157;0.870591903793,0.367978229934;0.891125145843;0.370591477017,0.867979081471;0.108874854157;0.129408949758,0.867979081471;0.608874854157;0.370591477017,0.367978229934;0.391125145843;0.129408949758,0.63202156215;0.108874854157;0.629408295405,0.132020710613;0.891125145843;0.870591903793,0.462375378985;0.387275257082;0.732226883425,0.962376230522;0.612724742918;0.767772234644,0.0376235615626;0.887275257082;0.267772888997,0.5376244131;0.112724742918;0.232227537779,0.5376244131;0.612724742918;0.267772888997,0.0376235615626;0.387275257082;0.232227537779,0.962376230522;0.112724742918;0.732226883425,0.462375378985;0.887275257082;0.767772234644,0.818507384918;0.84919668674;0.989180916968,0.318508444371;0.15080331326;0.51081928223,0.681491347714;0.34919668674;0.0108188554548,0.181492407166;0.65080331326;0.489180490192,0.181492407166;0.15080331326;0.0108188554548,0.681491347714;0.84919668674;0.489180490192,0.318508444371;0.65080331326;0.989180916968,0.818507384918;0.34919668674;0.51081928223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-90.223231,4.59,4.533431998;0.0;0.0,0.0;5.548632689;0.0,0.0;0.0;5.040491257,0.0;0.1551769685;0.249999441671,0.0;0.844824349122;0.750000308948,0.500000882554;0.655175825065;0.249999441671,0.500000882554;0.344823690311;0.750000308948,0.267411091759;0.387819868536;0.420468936844,0.732588467515;0.612179646841;0.579530813776,0.232587584961;0.112180790275;0.92046980412,0.767411974313;0.887820527346;0.0795299464994,0.767411974313;0.112180790275;0.579530813776,0.232587584961;0.887820527346;0.420468936844,0.732588467515;0.387819868536;0.0795299464994,0.267411091759;0.612179646841;0.92046980412,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-49.949693,3.82,3.849116453;0.0;0.0,0.0;3.849116453;0.0,1.924558226;1.924558226;4.74612455,0.125000820356;0.375001050734;0.749999280992,0.875001041377;0.625000811;0.249999760331,0.915367660064;0.165366968932;0.169266522936,0.665367899798;0.415367669421;0.669266043598,0.0846331481784;0.834633839311;0.830734625369,0.334633961935;0.584634192313;0.330732997725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-199.916863,5.19,5.218125056;0.0;0.0,0.0;5.507612049;0.0,0.0;0.0;9.242495517,0.13276991114;0.392182670236;0.629285671743,0.632769426674;0.607816957734;0.87071505582,0.367229604395;0.892183392055;0.370714813299,0.86722911993;0.107818051583;0.129285429222,0.86722911993;0.607816957734;0.370714813299,0.367229604395;0.392182670236;0.129285429222,0.632769426674;0.107818051583;0.629285671743,0.13276991114;0.892183392055;0.87071505582,0.462986220927;0.388177304607;0.731505899848,0.962985736461;0.611824139032;0.768493745757,0.0370152110053;0.888176210757;0.268493503236,0.53701472654;0.111823417213;0.231505657326,0.53701472654;0.611824139032;0.268493503236,0.0370152110053;0.388177304607;0.231505657326,0.962985736461;0.111823417213;0.731505899848,0.462986220927;0.888176210757;0.768493745757,0.818224928337;0.849745762476;0.989190633978,0.318225412802;0.150253865493;0.510809011626,0.681775534664;0.349745040657;0.0108098510642,0.18177601913;0.650254587313;0.489190391457,0.18177601913;0.150253865493;0.0108098510642,0.681775534664;0.849745762476;0.489190391457,0.318225412802;0.650254587313;0.989190633978,0.818224928337;0.349745040657;0.510809011626,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-48.230031,3.87,3.88563215;0.0;0.0,0.0;3.88563215;0.0,1.942816075;1.942816075;4.842623116,0.125000735177;0.374998666659;0.750000549909,0.874999010862;0.624998505796;0.250000871635,0.917891054084;0.16789211247;0.164216785191,0.667891214947;0.417890709882;0.664216463464,0.0821097244535;0.832108666067;0.835782571356,0.33210956359;0.582107495072;0.335782893083,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-46.574929,3.88,3.904438483;0.0;0.0,0.0;3.904438483;0.0,1.952219241;1.952219241;4.833360084,0.125000200879;0.375000298012;0.749999986966,0.875000390737;0.625000293604;0.249999995655,0.917346708079;0.16734641668;0.165307360949,0.667346712488;0.417346615355;0.665307352259,0.0826538835369;0.832654174936;0.834692621672,0.332653879128;0.582653976261;0.334692630362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-46.774104,4.66,4.618245407;1.6366e-05;0.0,1.6366e-05;4.618245407;0.0,0.0;0.0;3.021116985,0.0;0.0;0.0,0.499999808045;0.499999808045;0.500000498988,0.304603781497;0.304603781497;0.0,0.695395834592;0.695395834592;0.0,0.804601417769;0.195400363637;0.500000498988,0.195400363637;0.804601417769;0.500000498988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-48.230498,3.82,3.859903648;0.0;0.0,0.0;3.859903648;0.0,1.929951824;1.929951824;4.71963382,0.124999036415;0.375000095509;0.750000982068,0.874998891221;0.625000422865;0.250000327356,0.914267827555;0.16426983175;0.171462454687,0.664267500199;0.414269031844;0.671463109399,0.0857311594852;0.835731746028;0.828536735928,0.335730427437;0.585731486531;0.328538200025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
