Energy,Scale,PrimVec1,PrimVec2,PrimVec3,Coord1,Coord2,Coord3,Coord4,Coord5,Coord6,Coord7,Coord8,Coord9,Coord10,Coord11,Coord12,Coord13,Coord14,Coord15,Coord16,Coord17,Coord18,Coord19,Coord20,Coord21,Coord22,Coord23,Coord24,Coord25,Coord26,Coord27,Coord28,Coord29,Coord30,Coord31,Coord32,Coord33,Coord34,Coord35,Coord36,Coord37,Coord38,Coord39,Coord40,Coord41,Coord42,Coord43,Coord44,Coord45,Coord46,Coord47,Coord48,Coord49,Coord50,Coord51,Coord52,Coord53,Coord54,Coord55,Coord56,Coord57,Coord58,Coord59,Coord60,Coord61,Coord62,Coord63,Coord64,Coord65,Coord66,Coord67,Coord68,Coord69,Coord70,Coord71,Coord72,Coord73,Coord74,Coord75,Coord76,Coord77,Coord78,Coord79,Coord80,Coord81,Coord82,Coord83,Coord84,Coord85,Coord86,Coord87,Coord88,Coord89,Coord90,Coord91,Coord92,Coord93,Coord94,Coord95,Coord96
-43.974831,4.77,4.733640976;3.77e-07;0.0,3.77e-07;4.733640976;0.0,0.0;0.0;3.084099013,0.0;0.0;0.0,0.194150697287;0.805849016887;0.500000160014,0.805849016887;0.194150697287;0.500000160014,0.305846998544;0.305846998544;0.0,0.499999857087;0.499999857087;0.500000160014,0.694152715629;0.694152715629;0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-180.528175,5.24,5.279087107;0.0;0.0,0.0;5.549779611;0.0,0.0;0.0;9.330916334,0.13509722146;0.393484093615;0.629384059377,0.364903999679;0.393484093615;0.129383862933,0.864903326552;0.606515976477;0.37061633351,0.364903999679;0.893484128662;0.37061633351,0.635096548332;0.606515976477;0.870616529954,0.864903326552;0.106515941431;0.129383862933,0.534986436624;0.113469370703;0.231883978224,0.635096548332;0.106515941431;0.629384059377,0.13509722146;0.893484128662;0.870616529954,0.465014111388;0.386530664344;0.731884174667,0.0349852154845;0.88653069939;0.26811621822,0.96501343826;0.613469405749;0.768116414664,0.820001623815;0.84881388635;0.988628519408,0.96501343826;0.113469370703;0.731884174667,0.465014111388;0.88653069939;0.768116414664,0.679998251069;0.348813851304;0.0113718734797,0.534986436624;0.613469405749;0.26811621822,0.820001623815;0.348813851304;0.511372069923,0.679998251069;0.84881388635;0.488628322964,0.320002296943;0.651186218789;0.988628519408,0.17999702993;0.651186218789;0.488628322964,0.17999702993;0.151186183743;0.0113718734797,0.320002296943;0.151186183743;0.511372069923,0.0349852154845;0.386530664344;0.231883978224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-50.549667,4.71,4.699981603;1e-08;0.0,1e-08;4.699981603;0.0,0.0;0.0;3.011856055,0.0;0.0;0.0,0.1943092695;0.805690387307;0.500000654912,0.805690387307;0.1943092695;0.500000654912,0.305688429935;0.305688429935;0.0,0.499999828404;0.499999828404;0.500000654912,0.694311226872;0.694311226872;0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-52.131217,3.84,3.821934114;0.0;0.0,0.0;3.821934114;0.0,1.910967057;1.910967057;4.889882514,0.125000962825;0.375000039601;0.749999614408,0.330926155734;0.580925232511;0.338149228589,0.0809262842652;0.83092613107;0.838148971528,0.919073666407;0.169073819602;0.16185051435,0.874998987847;0.624999911071;0.249999871469,0.669073794938;0.419074718161;0.661850257288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-165.869163,5.33,5.379683444;0.0;0.0,0.0;5.636917633;0.0,0.0;0.0;9.487421957,0.134455866694;0.391953571765;0.629559855888,0.365543813213;0.391953571765;0.129559959025,0.865545351966;0.608046848145;0.370439937839,0.365543813213;0.89195378172;0.370439937839,0.6344555466;0.608046848145;0.870439834702,0.865545351966;0.10804663819;0.129559959025,0.534371590805;0.114035726944;0.231823777836,0.6344555466;0.10804663819;0.629559855888,0.134455866694;0.89195378172;0.870439834702,0.465627769008;0.385964483012;0.7318236747,0.0343719108986;0.885964692967;0.268176119027,0.965627448915;0.614035936899;0.76817601589,0.822765883174;0.84952279096;0.986879264192,0.965627448915;0.114035726944;0.7318236747,0.465627769008;0.885964692967;0.76817601589,0.677233156546;0.349522581005;0.0131205295352,0.534371590805;0.614035936899;0.268176119027,0.822765883174;0.349522581005;0.513120426399,0.677233156546;0.84952279096;0.486879367328,0.322766203267;0.650476064886;0.986879264192,0.177233476639;0.650476064886;0.486879367328,0.177233476639;0.15047762895;0.0131205295352,0.322766203267;0.15047762895;0.513120426399,0.0343719108986;0.385964483012;0.231823777836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-53.586435,3.87,3.83006848;0.0;0.0,0.0;3.83006848;0.0,1.91503424;1.91503424;4.984148353,0.124999019847;0.374999771792;0.749999746246,0.328618560865;0.57861931281;0.342760664211,0.078618979843;0.828621235677;0.842759826254,0.921380144763;0.171380499848;0.157240504193,0.875000104759;0.624999352814;0.250000584202,0.671380563741;0.421379811797;0.657239666237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-180.61635,5.29,5.330550784;0.0;0.0,0.0;5.593594316;0.0,0.0;0.0;9.433415533,0.134775941382;0.393296309263;0.629299110087,0.365224923069;0.393296309263;0.129299933384,0.865223911541;0.60670291914;0.370700303381,0.365224923069;0.893296817345;0.370700303381,0.634774929855;0.60670291914;0.870700540145,0.865223911541;0.106704198818;0.129299933384,0.534344407439;0.112779004762;0.231005407572,0.634774929855;0.106704198818;0.629299110087,0.134775941382;0.893296817345;0.870700540145,0.465655445484;0.387221503319;0.731005644337,0.0343454189667;0.887222011401;0.268994829192,0.965654433957;0.612779512843;0.768995065957,0.821764987804;0.850095614978;0.987321078714,0.965654433957;0.112779004762;0.731005644337,0.465655445484;0.887222011401;0.768995065957,0.678235729571;0.350096894657;0.0126783347539,0.534344407439;0.612779512843;0.268994829192,0.821764987804;0.350096894657;0.512678571519,0.678235729571;0.850095614978;0.487321902011,0.321764123353;0.649904121506;0.987321078714,0.17823486512;0.649904121506;0.487321902011,0.17823486512;0.149903613425;0.0126783347539,0.321764123353;0.149903613425;0.512678571519,0.0343454189667;0.387221503319;0.231005407572,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-196.671275,5.21,5.236915619;0.0;0.0,0.0;5.519909283;0.0,0.0;0.0;9.295454999,0.136551751456;0.396528255771;0.62908701087,0.363448666825;0.396528255771;0.129086741868,0.863449085105;0.603471874123;0.370913527135,0.363448666825;0.896527414905;0.370913527135,0.636552169736;0.603471874123;0.870913796137,0.863449085105;0.103470903364;0.129086741868,0.534919827586;0.111552557919;0.230808497296,0.636552169736;0.103470903364;0.62908701087,0.136551751456;0.896527414905;0.870913796137,0.465081008975;0.388446601216;0.730808766298,0.0349194093058;0.888447571974;0.269190695912,0.965081427255;0.611551717054;0.769190964914,0.818766295268;0.850013969333;0.989022054433,0.965081427255;0.111552557919;0.730808766298,0.465081008975;0.888447571974;0.769190964914,0.681234959574;0.350012998574;0.0109784835719,0.534919827586;0.611551717054;0.269190695912,0.818766295268;0.350012998574;0.51097767678,0.681234959574;0.850013969333;0.489021785431,0.318765876987;0.649987131319;0.989022054433,0.181234541293;0.649987131319;0.489021785431,0.181234541293;0.149986160561;0.0109784835719,0.318765876987;0.149986160561;0.51097767678,0.0349194093058;0.388446601216;0.230808497296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-90.285948,4.66,4.638437362;0.0;0.0,0.0;5.625205477;0.0,0.0;0.0;5.08505382,0.0;0.159354178912;0.249999320558,0.727408766504;0.615947277689;0.58128391648,0.272591802222;0.384051748658;0.418717298847,0.500000284363;0.659353692086;0.249999320558,0.0;0.840646625147;0.749999928221,0.500000284363;0.340645334261;0.749999928221,0.272591802222;0.615947277689;0.918715939962,0.227408482141;0.115947764516;0.918715939962,0.772592086585;0.884053039544;0.0812833088166,0.772592086585;0.115947764516;0.58128391648,0.727408766504;0.384051748658;0.0812833088166,0.227408482141;0.884053039544;0.418717298847,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-47.831954,3.9,3.886426726;0.0;0.0,0.0;3.886426726;0.0,1.943213363;1.943213363;4.954091193,0.124998972668;0.374999826537;0.750000324025,0.329986115706;0.579986969575;0.34002603795,0.0799856712749;0.829985659825;0.840026926812,0.92001442623;0.17001443768;0.159972832377,0.875001124837;0.625000270968;0.249999435164,0.6700139818;0.420013127931;0.659973721239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
