Volume,NumAtoms,EOpt,Energy
273.3750405,24,-186.6280823,-186.624533
63.19850129,6,-51.7323959,-51.729522
270.2567243,24,-180.2657254,-180.209302
62.78989158,6,-50.03801974,-50.011671
65.26815943,6,-46.78778229,-46.785818
270.2567243,24,-186.6280823,-186.619423
253.529033,24,-221.2540945,-221.205289
127.6207775,12,-103.404014,-103.367534
126.7902761,12,-96.64990584,-96.646692
65.26815945,6,-48.38949879,-48.388008
261.0442337,24,-221.2540945,-221.223883
69.76636098,6,-55.34572634,-55.334124
121.8828208,12,-110.5571464,-110.553137
69.21846011,6,-49.95387805,-49.935029
130.9790489,12,-96.64990584,-96.593396
64.85066714,6,-50.03801974,-50.034574
71.42739584,6,-49.95387805,-49.950458
62.78989155,6,-55.25630782,-55.254935
125.9633856,12,-106.9297876,-106.904016
63.60887992,6,-53.47203513,-53.468585
267.1622119,24,-193.1784023,-193.169889
126.7902761,12,-90.28528066,-90.223231
70.31714548,6,-49.95387805,-49.949693
265.6238536,24,-199.9180838,-199.916863
73.11458824,6,-48.24647787,-48.230031
73.68283383,6,-46.58529657,-46.574929
64.434959,6,-46.78778229,-46.774104
70.31714547,6,-48.24647787,-48.230498
274.9431536,24,-186.6280823,-186.611204
273.3750406,24,-180.2657254,-180.256668
64.0210312,6,-51.7323959,-51.731098
123.5043007,12,-103.404014,-103.389256
62.3830469,6,-53.47203513,-53.466196
274.9431536,24,-193.1784023,-193.10437
259.5294741,24,-206.844157,-206.811105
130.1340254,12,-90.28528066,-90.284563
74.25401604,6,-44.97133636,-44.965343
255.0203764,24,-221.2540945,-221.234059
123.5043007,12,-99.97814117,-99.93393
123.5043007,12,-110.5571464,-110.553065
125.9633856,12,-103.404014,-103.399004
69.21846013,6,-51.70676267,-51.702175
132.6800544,12,-90.28528066,-90.257735
66.95604652,6,-45.2321094,-45.22598
128.4548976,12,-93.41977688,-93.418419
131.8277226,12,-90.28528066,-90.273443
262.5648759,24,-199.9180838,-199.887978
64.85066716,6,-48.38949879,-48.388987
123.5043007,12,-106.9297876,-106.929169
130.1340254,12,-96.64990584,-96.617892
64.02103119,6,-46.78778229,-46.76223
65.26815941,6,-50.03801974,-50.028171
71.98687683,6,-44.97133636,-44.959575
126.7902761,12,-99.97814117,-99.976363
259.5294741,24,-199.9180838,-199.812872
65.26815943,6,-45.2321094,-45.222644
267.1622119,24,-206.844157,-206.804105
64.43495901,6,-45.2321094,-45.198843
71.42739587,6,-44.97133636,-44.939169
125.9633856,12,-99.97814117,-99.977012
124.3204057,12,-103.404014,-103.401047
68.13127918,6,-55.34572634,-55.344116
65.6874397,6,-46.78778229,-46.786752
124.3204058,12,-110.5571464,-110.541329
66.53137941,6,-48.38949879,-48.364324
265.6238536,24,-206.844157,-206.828169
124.3204058,12,-106.9297876,-106.928322
127.6207775,12,-93.41977688,-93.410818
