At1,Stoich1,SID,MID
Ti,2,1,1
Ti,2,2,1
Ti,4,3,1
Ti,8,4,1
Ti,4,5,1
Ti,4,6,1
Ti,1,7,1
Ti,4,8,1
V,2,1,2
V,2,2,2
V,4,3,2
V,8,4,2
Ru,2,1,3
Ru,4,3,3
Ru,4,6,3
Ir,2,1,4
Ir,4,3,4
Ir,4,6,4
