Energy,Attyps,Coord1,Coord2,Coord3,Coord4,Coord5,Coord6,Coord7,Coord8,Coord9,Coord10,Coord11,Coord12
-361.3978939,2;4, 0.000000000;0.000000000;0.000000020,0.500000000;0.500000000;0.500000020,0.305356333;0.305356333;0.000000020,0.694643667;0.694643667;0.000000020,0.805354772;0.194645228;0.500000020,0.194645228;0.805354772;0.500000020,-,-,-,-,-,-
-361.2642613,2;4, 0.000000000;0.000000000;0.000000021,0.500000000;0.500000000;0.500000021,0.305356333;0.305356333;0.000000021,0.694643667;0.694643667;0.000000021,0.805354772;0.194645228;0.500000021,0.194645228;0.805354772;0.500000021,-,-,-,-,-,-
-361.2680926,2;4, 0.000000000;0.000000000;0.000000022,0.500000000;0.500000000;0.500000022,0.305356333;0.305356333;0.000000022,0.694643667;0.694643667;0.000000022,0.805354772;0.194645228;0.500000022,0.194645228;0.805354772;0.500000022,-,-,-,-,-,-
-361.2700245,2;4, 0.000000000;0.000000000;0.000000023,0.500000000;0.500000000;0.500000023,0.305356333;0.305356333;0.000000023,0.694643667;0.694643667;0.000000023,0.805354772;0.194645228;0.500000023,0.194645228;0.805354772;0.500000023,-,-,-,-,-,-
-361.2701709,2;4, 0.000000000;0.000000000;0.000000024,0.500000000;0.500000000;0.500000024,0.305356333;0.305356333;0.000000024,0.694643667;0.694643667;0.000000024,0.805354772;0.194645228;0.500000024,0.194645228;0.805354772;0.500000024,-,-,-,-,-,-
-361.268629,2;4, 0.000000000;0.000000000;0.000000025,0.500000000;0.500000000;0.500000025,0.305356333;0.305356333;0.000000025,0.694643667;0.694643667;0.000000025,0.805354772;0.194645228;0.500000025,0.194645228;0.805354772;0.500000025,-,-,-,-,-,-
-361.2655072,2;4, 0.000000000;0.000000000;0.000000026,0.500000000;0.500000000;0.500000026,0.305356333;0.305356333;0.000000026,0.694643667;0.694643667;0.000000026,0.805354772;0.194645228;0.500000026,0.194645228;0.805354772;0.500000026,-,-,-,-,-,-
-361.1297127,2;4, 0.000000000;0.000000000;0.000000027,0.500000000;0.500000000;0.500000027,0.305356333;0.305356333;0.000000027,0.694643667;0.694643667;0.000000027,0.805354772;0.194645228;0.500000027,0.194645228;0.805354772;0.500000027,-,-,-,-,-,-
-361.1324998,2;4, 0.000000000;0.000000000;0.000000028,0.500000000;0.500000000;0.500000028,0.305356333;0.305356333;0.000000028,0.694643667;0.694643667;0.000000028,0.805354772;0.194645228;0.500000028,0.194645228;0.805354772;0.500000028,-,-,-,-,-,-
-361.1334969,2;4, 0.000000000;0.000000000;0.000000029,0.500000000;0.500000000;0.500000029,0.305356333;0.305356333;0.000000029,0.694643667;0.694643667;0.000000029,0.805354772;0.194645228;0.500000029,0.194645228;0.805354772;0.500000029,-,-,-,-,-,-
-361.1327803,2;4, 0.000000000;0.000000000;0.000000030,0.500000000;0.500000000;0.500000030,0.305356333;0.305356333;0.000000030,0.694643667;0.694643667;0.000000030,0.805354772;0.194645228;0.500000030,0.194645228;0.805354772;0.500000030,-,-,-,-,-,-
-361.1304638,2;4, 0.000000000;0.000000000;0.000000031,0.500000000;0.500000000;0.500000031,0.305356333;0.305356333;0.000000031,0.694643667;0.694643667;0.000000031,0.805354772;0.194645228;0.500000031,0.194645228;0.805354772;0.500000031,-,-,-,-,-,-
-361.1266498,2;4, 0.000000000;0.000000000;0.000000032,0.500000000;0.500000000;0.500000032,0.305356333;0.305356333;0.000000032,0.694643667;0.694643667;0.000000032,0.805354772;0.194645228;0.500000032,0.194645228;0.805354772;0.500000032,-,-,-,-,-,-
-361.1214373,2;4, 0.000000000;0.000000000;0.000000033,0.500000000;0.500000000;0.500000033,0.305356333;0.305356333;0.000000033,0.694643667;0.694643667;0.000000033,0.805354772;0.194645228;0.500000033,0.194645228;0.805354772;0.500000033,-,-,-,-,-,-
-360.9940957,2;4, 0.000000000;0.000000000;0.000000034,0.500000000;0.500000000;0.500000034,0.305356333;0.305356333;0.000000034,0.694643667;0.694643667;0.000000034,0.805354772;0.194645228;0.500000034,0.194645228;0.805354772;0.500000034,-,-,-,-,-,-
-360.9977998,2;4, 0.000000000;0.000000000;0.000000035,0.500000000;0.500000000;0.500000035,0.305356333;0.305356333;0.000000035,0.694643667;0.694643667;0.000000035,0.805354772;0.194645228;0.500000035,0.194645228;0.805354772;0.500000035,-,-,-,-,-,-
-360.9996742,2;4, 0.000000000;0.000000000;0.000000036,0.500000000;0.500000000;0.500000036,0.305356333;0.305356333;0.000000036,0.694643667;0.694643667;0.000000036,0.805354772;0.194645228;0.500000036,0.194645228;0.805354772;0.500000036,-,-,-,-,-,-
-360.9998371,2;4, 0.000000000;0.000000000;0.000000037,0.500000000;0.500000000;0.500000037,0.305356333;0.305356333;0.000000037,0.694643667;0.694643667;0.000000037,0.805354772;0.194645228;0.500000037,0.194645228;0.805354772;0.500000037,-,-,-,-,-,-
-360.9983729,2;4, 0.000000000;0.000000000;0.000000038,0.500000000;0.500000000;0.500000038,0.305356333;0.305356333;0.000000038,0.694643667;0.694643667;0.000000038,0.805354772;0.194645228;0.500000038,0.194645228;0.805354772;0.500000038,-,-,-,-,-,-
-360.9953903,2;4, 0.000000000;0.000000000;0.000000039,0.500000000;0.500000000;0.500000039,0.305356333;0.305356333;0.000000039,0.694643667;0.694643667;0.000000039,0.805354772;0.194645228;0.500000039,0.194645228;0.805354772;0.500000039,-,-,-,-,-,-
-360.9909872,2;4, 0.000000000;0.000000000;0.000000040,0.500000000;0.500000000;0.500000040,0.305356333;0.305356333;0.000000040,0.694643667;0.694643667;0.000000040,0.805354772;0.194645228;0.500000040,0.194645228;0.805354772;0.500000040,-,-,-,-,-,-
-360.8614957,2;4, 0.000000000;0.000000000;0.000000041,0.500000000;0.500000000;0.500000041,0.305356333;0.305356333;0.000000041,0.694643667;0.694643667;0.000000041,0.805354772;0.194645228;0.500000041,0.194645228;0.805354772;0.500000041,-,-,-,-,-,-
-360.8661614,2;4, 0.000000000;0.000000000;0.000000042,0.500000000;0.500000000;0.500000042,0.305356333;0.305356333;0.000000042,0.694643667;0.694643667;0.000000042,0.805354772;0.194645228;0.500000042,0.194645228;0.805354772;0.500000042,-,-,-,-,-,-
-360.8689857,2;4, 0.000000000;0.000000000;0.000000043,0.500000000;0.500000000;0.500000043,0.305356333;0.305356333;0.000000043,0.694643667;0.694643667;0.000000043,0.805354772;0.194645228;0.500000043,0.194645228;0.805354772;0.500000043,-,-,-,-,-,-
-360.8700661,2;4, 0.000000000;0.000000000;0.000000044,0.500000000;0.500000000;0.500000044,0.305356333;0.305356333;0.000000044,0.694643667;0.694643667;0.000000044,0.805354772;0.194645228;0.500000044,0.194645228;0.805354772;0.500000044,-,-,-,-,-,-
-360.869506,2;4, 0.000000000;0.000000000;0.000000045,0.500000000;0.500000000;0.500000045,0.305356333;0.305356333;0.000000045,0.694643667;0.694643667;0.000000045,0.805354772;0.194645228;0.500000045,0.194645228;0.805354772;0.500000045,-,-,-,-,-,-
-360.8674064,2;4, 0.000000000;0.000000000;0.000000046,0.500000000;0.500000000;0.500000046,0.305356333;0.305356333;0.000000046,0.694643667;0.694643667;0.000000046,0.805354772;0.194645228;0.500000046,0.194645228;0.805354772;0.500000046,-,-,-,-,-,-
-360.8638645,2;4, 0.000000000;0.000000000;0.000000047,0.500000000;0.500000000;0.500000047,0.305356333;0.305356333;0.000000047,0.694643667;0.694643667;0.000000047,0.805354772;0.194645228;0.500000047,0.194645228;0.805354772;0.500000047,-,-,-,-,-,-
-723.3931275,4;8,-0.000003791;0.176766003;0.250001242,0.000003791;0.823233997;0.749998758,0.500002966;0.676786726;0.249998330,0.499997034;0.323213274;0.750001670,0.271877875;0.379365021;0.418793154,0.728122125;0.620634979;0.581206846,0.228104478;0.120602633;0.918765897,0.771895522;0.879397367;0.081234103,0.771863873;0.120588803;0.581215466,0.228136127;0.879411197;0.418784534,0.728097976;0.379370245;0.081232255,0.271902024;0.620629755;0.918767745
-723.3971466,4;8,-0.000003791;0.176766003;0.250001243,0.000003791;0.823233997;0.749998759,0.500002966;0.676786726;0.249998331,0.499997034;0.323213274;0.750001671,0.271877875;0.379365021;0.418793155,0.728122125;0.620634979;0.581206847,0.228104478;0.120602633;0.918765898,0.771895522;0.879397367;0.081234104,0.771863873;0.120588803;0.581215467,0.228136127;0.879411197;0.418784535,0.728097976;0.379370245;0.081232256,0.271902024;0.620629755;0.918767746
-723.3990888,4;8,-0.000003791;0.176766003;0.250001244,0.000003791;0.823233997;0.749998760,0.500002966;0.676786726;0.249998332,0.499997034;0.323213274;0.750001672,0.271877875;0.379365021;0.418793156,0.728122125;0.620634979;0.581206848,0.228104478;0.120602633;0.918765899,0.771895522;0.879397367;0.081234105,0.771863873;0.120588803;0.581215468,0.228136127;0.879411197;0.418784536,0.728097976;0.379370245;0.081232257,0.271902024;0.620629755;0.918767747
-723.3996431,4;8,-0.000003791;0.176766003;0.250001245,0.000003791;0.823233997;0.749998761,0.500002966;0.676786726;0.249998333,0.499997034;0.323213274;0.750001673,0.271877875;0.379365021;0.418793157,0.728122125;0.620634979;0.581206849,0.228104478;0.120602633;0.918765900,0.771895522;0.879397367;0.081234106,0.771863873;0.120588803;0.581215469,0.228136127;0.879411197;0.418784537,0.728097976;0.379370245;0.081232258,0.271902024;0.620629755;0.918767748
-723.3982033,4;8,-0.000003791;0.176766003;0.250001246,0.000003791;0.823233997;0.749998762,0.500002966;0.676786726;0.249998334,0.499997034;0.323213274;0.750001674,0.271877875;0.379365021;0.418793158,0.728122125;0.620634979;0.581206850,0.228104478;0.120602633;0.918765901,0.771895522;0.879397367;0.081234107,0.771863873;0.120588803;0.581215470,0.228136127;0.879411197;0.418784538,0.728097976;0.379370245;0.081232259,0.271902024;0.620629755;0.918767749
-723.3948762,4;8,-0.000003791;0.176766003;0.250001247,0.000003791;0.823233997;0.749998763,0.500002966;0.676786726;0.249998335,0.499997034;0.323213274;0.750001675,0.271877875;0.379365021;0.418793159,0.728122125;0.620634979;0.581206851,0.228104478;0.120602633;0.918765902,0.771895522;0.879397367;0.081234108,0.771863873;0.120588803;0.581215471,0.228136127;0.879411197;0.418784539,0.728097976;0.379370245;0.081232260,0.271902024;0.620629755;0.918767750
-723.3903618,4;8,-0.000003791;0.176766003;0.250001248,0.000003791;0.823233997;0.749998764,0.500002966;0.676786726;0.249998336,0.499997034;0.323213274;0.750001676,0.271877875;0.379365021;0.418793160,0.728122125;0.620634979;0.581206852,0.228104478;0.120602633;0.918765903,0.771895522;0.879397367;0.081234109,0.771863873;0.120588803;0.581215472,0.228136127;0.879411197;0.418784540,0.728097976;0.379370245;0.081232261,0.271902024;0.620629755;0.918767751
-723.1042541,4;8,-0.000003791;0.176766003;0.250001249,0.000003791;0.823233997;0.749998765,0.500002966;0.676786726;0.249998337,0.499997034;0.323213274;0.750001677,0.271877875;0.379365021;0.418793161,0.728122125;0.620634979;0.581206853,0.228104478;0.120602633;0.918765904,0.771895522;0.879397367;0.081234110,0.771863873;0.120588803;0.581215473,0.228136127;0.879411197;0.418784541,0.728097976;0.379370245;0.081232262,0.271902024;0.620629755;0.918767752
-723.1059066,4;8,-0.000003791;0.176766003;0.250001250,0.000003791;0.823233997;0.749998766,0.500002966;0.676786726;0.249998338,0.499997034;0.323213274;0.750001678,0.271877875;0.379365021;0.418793162,0.728122125;0.620634979;0.581206854,0.228104478;0.120602633;0.918765905,0.771895522;0.879397367;0.081234111,0.771863873;0.120588803;0.581215474,0.228136127;0.879411197;0.418784542,0.728097976;0.379370245;0.081232263,0.271902024;0.620629755;0.918767753
-723.104002,4;8,-0.000003791;0.176766003;0.250001251,0.000003791;0.823233997;0.749998767,0.500002966;0.676786726;0.249998339,0.499997034;0.323213274;0.750001679,0.271877875;0.379365021;0.418793163,0.728122125;0.620634979;0.581206855,0.228104478;0.120602633;0.918765906,0.771895522;0.879397367;0.081234112,0.771863873;0.120588803;0.581215475,0.228136127;0.879411197;0.418784543,0.728097976;0.379370245;0.081232264,0.271902024;0.620629755;0.918767754
-723.0985399,4;8,-0.000003791;0.176766003;0.250001252,0.000003791;0.823233997;0.749998768,0.500002966;0.676786726;0.249998340,0.499997034;0.323213274;0.750001680,0.271877875;0.379365021;0.418793164,0.728122125;0.620634979;0.581206856,0.228104478;0.120602633;0.918765907,0.771895522;0.879397367;0.081234113,0.771863873;0.120588803;0.581215476,0.228136127;0.879411197;0.418784544,0.728097976;0.379370245;0.081232265,0.271902024;0.620629755;0.918767755
-723.090367,4;8,-0.000003791;0.176766003;0.250001253,0.000003791;0.823233997;0.749998769,0.500002966;0.676786726;0.249998341,0.499997034;0.323213274;0.750001681,0.271877875;0.379365021;0.418793165,0.728122125;0.620634979;0.581206857,0.228104478;0.120602633;0.918765908,0.771895522;0.879397367;0.081234114,0.771863873;0.120588803;0.581215477,0.228136127;0.879411197;0.418784545,0.728097976;0.379370245;0.081232266,0.271902024;0.620629755;0.918767756
