Energy,Attyps,Coord1,Coord2,Coord3,Coord4,Coord5,Coord6,Coord7,Coord8,Coord9,Coord10,Coord11,Coord12
-722.2514975,4;8,-0.000003791;0.176766003;0.250001274,0.000003791;0.823233997;0.749998790,0.500002966;0.676786726;0.249998362,0.499997034;0.323213274;0.750001702,0.271877875;0.379365021;0.418793186,0.728122125;0.620634979;0.581206878,0.228104478;0.120602633;0.918765929,0.771895522;0.879397367;0.081234135,0.771863873;0.120588803;0.581215498,0.228136127;0.879411197;0.418784566,0.728097976;0.379370245;0.081232287,0.271902024;0.620629755;0.918767777
-722.2438078,4;8,-0.000003791;0.176766003;0.250001275,0.000003791;0.823233997;0.749998791,0.500002966;0.676786726;0.249998363,0.499997034;0.323213274;0.750001703,0.271877875;0.379365021;0.418793187,0.728122125;0.620634979;0.581206879,0.228104478;0.120602633;0.918765930,0.771895522;0.879397367;0.081234136,0.771863873;0.120588803;0.581215499,0.228136127;0.879411197;0.418784567,0.728097976;0.379370245;0.081232288,0.271902024;0.620629755;0.918767778
-722.2331489,4;8,-0.000003791;0.176766003;0.250001276,0.000003791;0.823233997;0.749998792,0.500002966;0.676786726;0.249998364,0.499997034;0.323213274;0.750001704,0.271877875;0.379365021;0.418793188,0.728122125;0.620634979;0.581206880,0.228104478;0.120602633;0.918765931,0.771895522;0.879397367;0.081234137,0.771863873;0.120588803;0.581215500,0.228136127;0.879411197;0.418784568,0.728097976;0.379370245;0.081232289,0.271902024;0.620629755;0.918767779
-721.9751553,4;8,-0.000003791;0.176766003;0.250001277,0.000003791;0.823233997;0.749998793,0.500002966;0.676786726;0.249998365,0.499997034;0.323213274;0.750001705,0.271877875;0.379365021;0.418793189,0.728122125;0.620634979;0.581206881,0.228104478;0.120602633;0.918765932,0.771895522;0.879397367;0.081234138,0.771863873;0.120588803;0.581215501,0.228136127;0.879411197;0.418784569,0.728097976;0.379370245;0.081232290,0.271902024;0.620629755;0.918767780
-721.9829031,4;8,-0.000003791;0.176766003;0.250001278,0.000003791;0.823233997;0.749998794,0.500002966;0.676786726;0.249998366,0.499997034;0.323213274;0.750001706,0.271877875;0.379365021;0.418793190,0.728122125;0.620634979;0.581206882,0.228104478;0.120602633;0.918765933,0.771895522;0.879397367;0.081234139,0.771863873;0.120588803;0.581215502,0.228136127;0.879411197;0.418784570,0.728097976;0.379370245;0.081232291,0.271902024;0.620629755;0.918767781
-721.986956,4;8,-0.000003791;0.176766003;0.250001279,0.000003791;0.823233997;0.749998795,0.500002966;0.676786726;0.249998367,0.499997034;0.323213274;0.750001707,0.271877875;0.379365021;0.418793191,0.728122125;0.620634979;0.581206883,0.228104478;0.120602633;0.918765934,0.771895522;0.879397367;0.081234140,0.771863873;0.120588803;0.581215503,0.228136127;0.879411197;0.418784571,0.728097976;0.379370245;0.081232292,0.271902024;0.620629755;0.918767782
-721.9874742,4;8,-0.000003791;0.176766003;0.250001280,0.000003791;0.823233997;0.749998796,0.500002966;0.676786726;0.249998368,0.499997034;0.323213274;0.750001708,0.271877875;0.379365021;0.418793192,0.728122125;0.620634979;0.581206884,0.228104478;0.120602633;0.918765935,0.771895522;0.879397367;0.081234141,0.771863873;0.120588803;0.581215504,0.228136127;0.879411197;0.418784572,0.728097976;0.379370245;0.081232293,0.271902024;0.620629755;0.918767783
-721.984687,4;8,-0.000003791;0.176766003;0.250001281,0.000003791;0.823233997;0.749998797,0.500002966;0.676786726;0.249998369,0.499997034;0.323213274;0.750001709,0.271877875;0.379365021;0.418793193,0.728122125;0.620634979;0.581206885,0.228104478;0.120602633;0.918765936,0.771895522;0.879397367;0.081234142,0.771863873;0.120588803;0.581215505,0.228136127;0.879411197;0.418784573,0.728097976;0.379370245;0.081232294,0.271902024;0.620629755;0.918767784
-721.9787517,4;8,-0.000003791;0.176766003;0.250001282,0.000003791;0.823233997;0.749998798,0.500002966;0.676786726;0.249998370,0.499997034;0.323213274;0.750001710,0.271877875;0.379365021;0.418793194,0.728122125;0.620634979;0.581206886,0.228104478;0.120602633;0.918765937,0.771895522;0.879397367;0.081234143,0.771863873;0.120588803;0.581215506,0.228136127;0.879411197;0.418784574,0.728097976;0.379370245;0.081232295,0.271902024;0.620629755;0.918767785
-721.9698969,4;8,-0.000003791;0.176766003;0.250001283,0.000003791;0.823233997;0.749998799,0.500002966;0.676786726;0.249998371,0.499997034;0.323213274;0.750001711,0.271877875;0.379365021;0.418793195,0.728122125;0.620634979;0.581206887,0.228104478;0.120602633;0.918765938,0.771895522;0.879397367;0.081234144,0.771863873;0.120588803;0.581215507,0.228136127;0.879411197;0.418784575,0.728097976;0.379370245;0.081232296,0.271902024;0.620629755;0.918767786
-721.7078669,4;8,-0.000003791;0.176766003;0.250001284,0.000003791;0.823233997;0.749998800,0.500002966;0.676786726;0.249998372,0.499997034;0.323213274;0.750001712,0.271877875;0.379365021;0.418793196,0.728122125;0.620634979;0.581206888,0.228104478;0.120602633;0.918765939,0.771895522;0.879397367;0.081234145,0.771863873;0.120588803;0.581215508,0.228136127;0.879411197;0.418784576,0.728097976;0.379370245;0.081232297,0.271902024;0.620629755;0.918767787
-721.7174991,4;8,-0.000003791;0.176766003;0.250001285,0.000003791;0.823233997;0.749998801,0.500002966;0.676786726;0.249998373,0.499997034;0.323213274;0.750001713,0.271877875;0.379365021;0.418793197,0.728122125;0.620634979;0.581206889,0.228104478;0.120602633;0.918765940,0.771895522;0.879397367;0.081234146,0.771863873;0.120588803;0.581215509,0.228136127;0.879411197;0.418784577,0.728097976;0.379370245;0.081232298,0.271902024;0.620629755;0.918767788
-721.7234396,4;8,-0.000003791;0.176766003;0.250001286,0.000003791;0.823233997;0.749998802,0.500002966;0.676786726;0.249998374,0.499997034;0.323213274;0.750001714,0.271877875;0.379365021;0.418793198,0.728122125;0.620634979;0.581206890,0.228104478;0.120602633;0.918765941,0.771895522;0.879397367;0.081234147,0.771863873;0.120588803;0.581215510,0.228136127;0.879411197;0.418784578,0.728097976;0.379370245;0.081232299,0.271902024;0.620629755;0.918767789
-721.7258432,4;8,-0.000003791;0.176766003;0.250001287,0.000003791;0.823233997;0.749998803,0.500002966;0.676786726;0.249998375,0.499997034;0.323213274;0.750001715,0.271877875;0.379365021;0.418793199,0.728122125;0.620634979;0.581206891,0.228104478;0.120602633;0.918765942,0.771895522;0.879397367;0.081234148,0.771863873;0.120588803;0.581215511,0.228136127;0.879411197;0.418784579,0.728097976;0.379370245;0.081232300,0.271902024;0.620629755;0.918767790
-721.7249361,4;8,-0.000003791;0.176766003;0.250001288,0.000003791;0.823233997;0.749998804,0.500002966;0.676786726;0.249998376,0.499997034;0.323213274;0.750001716,0.271877875;0.379365021;0.418793200,0.728122125;0.620634979;0.581206892,0.228104478;0.120602633;0.918765943,0.771895522;0.879397367;0.081234149,0.771863873;0.120588803;0.581215512,0.228136127;0.879411197;0.418784580,0.728097976;0.379370245;0.081232301,0.271902024;0.620629755;0.918767791
-721.7208812,4;8,-0.000003791;0.176766003;0.250001289,0.000003791;0.823233997;0.749998805,0.500002966;0.676786726;0.249998377,0.499997034;0.323213274;0.750001717,0.271877875;0.379365021;0.418793201,0.728122125;0.620634979;0.581206893,0.228104478;0.120602633;0.918765944,0.771895522;0.879397367;0.081234150,0.771863873;0.120588803;0.581215513,0.228136127;0.879411197;0.418784581,0.728097976;0.379370245;0.081232302,0.271902024;0.620629755;0.918767792
-721.7139092,4;8,-0.000003791;0.176766003;0.250001290,0.000003791;0.823233997;0.749998806,0.500002966;0.676786726;0.249998378,0.499997034;0.323213274;0.750001718,0.271877875;0.379365021;0.418793202,0.728122125;0.620634979;0.581206894,0.228104478;0.120602633;0.918765945,0.771895522;0.879397367;0.081234151,0.771863873;0.120588803;0.581215514,0.228136127;0.879411197;0.418784582,0.728097976;0.379370245;0.081232303,0.271902024;0.620629755;0.918767793
