Energy,CalcType,AtomIndex,DChargeRHigh,DChargeRLow,DChargeRCenter,PChargeRHigh,PChargeRLow,PChargeRCenter,DMagP,PMagP
-442.765183,Chi,12,2.673,2.673,2.673,1.085,1.085,1.085,0,0
-442.765183,Chi,13,2.673,2.673,2.673,1.085,1.085,1.085,0,0
-442.765183,Chi,14,2.673,2.673,2.673,1.085,1.085,1.085,0,0
-442.765183,Chi,15,2.673,2.673,2.673,1.085,1.085,1.085,0,0
-442.765183,Chi,16,2.673,2.673,2.673,1.085,1.085,1.085,0,0
-442.765183,Chi,17,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,18,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,19,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,20,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,21,0,0,0,3.467,3.47,3.469,0,0
-442.765183,Chi,22,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,23,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,24,0,0,0,3.467,3.47,3.469,0,0
-442.765183,Chi,25,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,26,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,27,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,28,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,29,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,30,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,31,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,32,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,33,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,34,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,35,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,36,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,37,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,38,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,39,0,0,0,3.467,3.47,3.469,0,0
-442.765183,Chi,40,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,41,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,42,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,43,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,44,0,0,0,3.467,3.47,3.469,0,0
-442.765183,Chi,45,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,46,0,0,0,3.469,3.469,3.469,0,0
-442.765183,Chi,47,0,0,0,3.467,3.47,3.469,0,0
-442.765183,Chi,48,0,0,0,3.467,3.47,3.469,0,0
-442.765183,Chi0,1,2.745,2.615,2.679,1.084,1.085,1.085,0,0
-442.765183,Chi0,2,2.679,2.679,2.679,1.085,1.085,1.085,0,0
-442.765183,Chi0,3,2.678,2.68,2.679,1.084,1.085,1.085,0,0
-442.765183,Chi0,4,2.678,2.68,2.679,1.084,1.085,1.085,0,0
-442.765183,Chi0,5,2.679,2.679,2.679,1.085,1.085,1.085,0,0
-442.765183,Chi0,6,2.679,2.679,2.679,1.085,1.085,1.085,0,0
-442.765183,Chi0,7,2.679,2.679,2.679,1.085,1.085,1.085,0,0
-442.765183,Chi0,8,2.679,2.679,2.679,1.085,1.085,1.085,0,0
-442.765183,Chi0,9,2.679,2.679,2.679,1.085,1.085,1.085,0,0
-442.765183,Chi0,10,2.678,2.68,2.679,1.084,1.085,1.085,0,0
