Energy,NELMDL,SYMPREC,ISYM,IBRION,SIGMA,NELMIN,KPointSampling,KPoints,LDAUL,LDAUJ,ENCUT,ISIF,ICHARG,GGA,LDAUPRINT,LDAUU,Pseudopotential1,Pseudopotential2,NELM,NSW,LASPH,MAXMIX,EDIFF,ISMEAR,ISTART,LDAU,LMAXMIX,EDIFFG,ISPIN,LDAUTYPE,LORBIT,AEXX,NKRED,PRECFOCK,NBANDS,LMAXFOCK,ALGO,LHFCALC,TIME,HFSCREEN
-50.034574,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,3.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-49.950458,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,3.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-55.254935,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,0;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-106.904016,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,1.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-53.468585,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,1.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-193.169889,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,4.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-90.223231,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,6.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-49.949693,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,3.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-199.916863,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,3.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-48.230031,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,4.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-46.574929,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,5.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-46.774104,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,5.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-48.230498,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,4.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-186.611204,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,5.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-180.256668,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,6.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-51.731098,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,2.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-103.389256,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,2.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-53.466196,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,1.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-193.10437,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,4.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
-206.811105,-10,1.00E-06,1,1,0.05,5,Monkhorst,8;8;8,2;-1,0.00;0.00,600,4,2,PS,1,2.00;0.00,PAW Ti 03Oct2001,PAW O 22Mar2012,200,100,.TRUE.,-100,5.00E-06,0,0,.TRUE.,4,-0.01,2,2,-,-,-,-,-,-,-,-,-,-
